,Min1,Max1,Min2,Max2
Compliance (L/cmh20),0.15,,,
Port,Patient,,,
Left Pressure (cmH20),6,6.5,,
Right Pressure (cmH20),3,3.5,,
Left Volume(L),0.4,0.49,0.4,0.48
Right Volume(L),0.39,0.47,0.4,0.48
Breat Rate (breath/min),15,,,
I:E,1:3,,,
Flow Rate (L/min),10,,,
,,,,
17:49:12.574 -> S-0.02 -5.11 158.81 2.37,,,,
17:49:12.574 -> S-0.02 -5.36 158.81 2.37,,,,
17:49:12.574 -> S-0.02 -5.45 158.81 2.37,,,,
17:49:12.574 -> S-0.02 -5.48 158.81 2.37,,,,
17:49:12.574 -> S-0.02 -5.36 158.81 2.37,,,,
17:49:12.608 -> S-0.02 -5.18 158.81 2.37,,,,
17:49:12.608 -> S-0.02 -5.04 158.81 2.37,,,,
17:49:12.608 -> S-0.02 -5.01 158.81 2.37,,,,
17:49:12.608 -> S-0.02 -5.13 158.81 2.37,,,,
17:49:12.608 -> S-0.02 -5.27 158.81 2.37,,,,
17:49:12.608 -> S-0.02 -5.36 158.81 2.37,,,,
17:49:12.643 -> S-0.02 -5.41 158.81 2.37,,,,
17:49:12.643 -> S-0.02 -5.32 158.81 2.37,,,,
17:49:12.643 -> S-0.02 -5.27 158.81 2.37,,,,
17:49:12.643 -> S-0.02 -5.20 158.81 2.37,,,,
17:49:12.643 -> S-0.02 -5.04 158.81 2.37,,,,
17:49:12.678 -> S-0.02 -4.99 158.81 2.37,,,,
17:49:12.678 -> S-0.02 -5.04 158.81 2.37,,,,
17:49:12.678 -> S-0.02 -5.16 158.81 2.37,,,,
17:49:12.678 -> S-0.02 -5.18 158.81 2.37,,,,
17:49:12.678 -> S-0.02 -5.20 158.81 2.37,,,,
17:49:12.678 -> S-0.02 -5.32 158.81 2.37,,,,
17:49:12.678 -> S-0.02 -5.32 158.81 2.37,,,,
17:49:12.712 -> S-0.02 -5.18 158.81 2.37,,,,
17:49:12.712 -> S-0.02 -4.99 158.81 2.37,,,,
17:49:12.712 -> S-0.02 -4.99 158.81 2.37,,,,
17:49:12.712 -> S-0.02 -5.08 158.81 2.37,,,,
17:49:12.712 -> S-0.02 -5.13 158.81 2.37,,,,
17:49:12.746 -> S-0.02 -5.13 158.81 2.37,,,,
17:49:12.746 -> S-0.02 -5.11 158.81 2.37,,,,
17:49:12.746 -> S-0.02 -5.01 158.81 2.37,,,,
17:49:12.746 -> S-0.02 -4.94 158.81 2.37,,,,
17:49:12.746 -> S-0.02 -4.96 158.81 2.37,,,,
17:49:12.746 -> S-0.02 -4.96 158.81 2.37,,,,
17:49:12.783 -> S-0.02 -4.96 158.81 2.37,,,,
17:49:12.783 -> S-0.02 -4.99 158.81 2.37,,,,
17:49:12.783 -> S-0.02 -4.99 158.81 2.37,,,,
17:49:12.783 -> S-0.02 -4.99 158.81 2.37,,,,
17:49:12.783 -> S-0.02 -4.96 158.81 2.37,,,,
17:49:12.783 -> S-0.02 -5.01 158.81 2.37,,,,
17:49:12.819 -> S-0.02 -5.01 158.81 2.37,,,,
17:49:12.819 -> S-0.02 -5.01 158.81 2.37,,,,
17:49:12.819 -> S-0.02 -5.01 158.81 2.37,,,,
17:49:12.819 -> S-0.02 -4.99 158.81 2.37,,,,
17:49:12.819 -> S-0.02 -5.06 158.81 2.37,,,,
17:49:12.819 -> S-0.02 -5.18 158.81 2.37,,,,
17:49:12.854 -> S-0.02 -5.16 158.81 2.37,,,,
17:49:12.854 -> S-0.02 -5.13 158.81 2.37,,,,
17:49:12.854 -> S-0.02 -5.08 158.81 2.37,,,,
17:49:12.854 -> S-0.02 -5.08 158.81 2.37,,,,
17:49:12.854 -> S-0.02 -5.13 158.81 2.37,,,,
17:49:12.854 -> S-0.02 -5.04 158.81 2.37,,,,
17:49:12.888 -> S-0.02 -4.84 158.81 2.37,,,,
17:49:12.888 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:12.888 -> S-0.02 -4.94 158.81 2.37,,,,
17:49:12.888 -> S-0.02 -5.06 158.81 2.37,,,,
17:49:12.888 -> S-0.02 -5.08 158.81 2.37,,,,
17:49:12.922 -> S-0.02 -4.96 158.81 2.37,,,,
17:49:12.922 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:12.922 -> S-0.02 -4.76 158.81 2.37,,,,
17:49:12.922 -> S-0.02 -4.79 158.81 2.37,,,,
17:49:12.922 -> S-0.02 -4.84 158.81 2.37,,,,
17:49:12.922 -> S-0.02 -4.99 158.81 2.37,,,,
17:49:12.960 -> S-0.02 -5.08 158.81 2.37,,,,
17:49:12.960 -> S-0.02 -5.04 158.81 2.37,,,,
17:49:12.960 -> S-0.02 -4.94 158.81 2.37,,,,
17:49:12.960 -> S-0.02 -4.76 158.81 2.37,,,,
17:49:12.960 -> S-0.01 -4.63 158.81 2.37,,,,
17:49:12.960 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:12.960 -> S-0.02 -4.89 158.81 2.37,,,,
17:49:12.998 -> S-0.02 -4.96 158.81 2.37,,,,
17:49:12.998 -> S-0.02 -4.91 158.81 2.37,,,,
17:49:12.998 -> S-0.02 -4.86 158.81 2.37,,,,
17:49:12.998 -> S-0.02 -4.84 158.81 2.37,,,,
17:49:12.998 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:12.998 -> S-0.02 -4.79 158.81 2.37,,,,
17:49:13.033 -> S-0.02 -4.79 158.81 2.37,,,,
17:49:13.033 -> S-0.02 -4.76 158.81 2.37,,,,
17:49:13.033 -> S-0.02 -4.76 158.81 2.37,,,,
17:49:13.033 -> S-0.02 -4.79 158.81 2.37,,,,
17:49:13.033 -> S-0.02 -4.74 158.81 2.37,,,,
17:49:13.068 -> S-0.02 -4.74 158.81 2.37,,,,
17:49:13.068 -> S-0.02 -4.74 158.81 2.37,,,,
17:49:13.068 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.068 -> S-0.02 -4.66 158.81 2.37,,,,
17:49:13.068 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.068 -> S-0.02 -4.74 158.81 2.37,,,,
17:49:13.102 -> S-0.02 -4.74 158.81 2.37,,,,
17:49:13.102 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.102 -> S-0.02 -4.66 158.81 2.37,,,,
17:49:13.102 -> S-0.02 -4.76 158.81 2.37,,,,
17:49:13.102 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:13.102 -> S-0.02 -4.79 158.81 2.37,,,,
17:49:13.135 -> S-0.02 -4.76 158.81 2.37,,,,
17:49:13.135 -> S-0.02 -4.76 158.81 2.37,,,,
17:49:13.135 -> S-0.02 -4.71 158.81 2.37,,,,
17:49:13.135 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.135 -> S-0.02 -4.74 158.81 2.37,,,,
17:49:13.172 -> S-0.02 -4.76 158.81 2.37,,,,
17:49:13.172 -> S-0.02 -4.76 158.81 2.37,,,,
17:49:13.172 -> S-0.02 -4.76 158.81 2.37,,,,
17:49:13.172 -> S-0.02 -4.71 158.81 2.37,,,,
17:49:13.172 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.172 -> S-0.01 -4.63 158.81 2.37,,,,
17:49:13.172 -> S-0.02 -4.71 158.81 2.37,,,,
17:49:13.209 -> S-0.02 -4.74 158.81 2.37,,,,
17:49:13.209 -> S-0.02 -4.71 158.81 2.37,,,,
17:49:13.209 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.209 -> S-0.02 -4.71 158.81 2.37,,,,
17:49:13.209 -> S-0.02 -4.66 158.81 2.37,,,,
17:49:13.209 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.243 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.243 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.243 -> S-0.01 -4.63 158.81 2.37,,,,
17:49:13.243 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.243 -> S-0.02 -4.74 158.81 2.37,,,,
17:49:13.243 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.278 -> S-0.02 -4.66 158.81 2.37,,,,
17:49:13.278 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.278 -> S-0.02 -4.66 158.81 2.37,,,,
17:49:13.278 -> S-0.02 -4.66 158.81 2.37,,,,
17:49:13.278 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.312 -> S-0.02 -4.66 158.81 2.37,,,,
17:49:13.312 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.312 -> S-0.02 -4.66 158.81 2.37,,,,
17:49:13.312 -> S-0.01 -4.53 158.81 2.37,,,,
17:49:13.312 -> S-0.01 -4.53 158.81 2.37,,,,
17:49:13.312 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.349 -> S-0.01 -4.63 158.81 2.37,,,,
17:49:13.349 -> S-0.01 -4.63 158.81 2.37,,,,
17:49:13.349 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.349 -> S-0.02 -4.79 158.81 2.37,,,,
17:49:13.349 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:13.349 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:13.349 -> S-0.02 -4.84 158.81 2.37,,,,
17:49:13.385 -> S-0.02 -4.84 158.81 2.37,,,,
17:49:13.385 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:13.385 -> S-0.02 -4.91 158.81 2.37,,,,
17:49:13.385 -> S-0.02 -4.96 158.81 2.37,,,,
17:49:13.385 -> S-0.02 -4.94 158.81 2.37,,,,
17:49:13.420 -> S-0.02 -4.89 158.81 2.37,,,,
17:49:13.420 -> S-0.02 -4.91 158.81 2.37,,,,
17:49:13.420 -> S-0.02 -4.89 158.81 2.37,,,,
17:49:13.420 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:13.420 -> S-0.02 -4.79 158.81 2.37,,,,
17:49:13.420 -> S-0.02 -4.74 158.81 2.37,,,,
17:49:13.458 -> S-0.02 -4.76 158.81 2.37,,,,
17:49:13.458 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:13.458 -> S-0.02 -4.84 158.81 2.37,,,,
17:49:13.458 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:13.458 -> S-0.02 -4.84 158.81 2.37,,,,
17:49:13.458 -> S-0.02 -4.91 158.81 2.37,,,,
17:49:13.491 -> S-0.02 -4.91 158.81 2.37,,,,
17:49:13.491 -> S-0.02 -4.86 158.81 2.37,,,,
17:49:13.491 -> S-0.02 -4.84 158.81 2.37,,,,
17:49:13.491 -> S-0.02 -4.84 158.81 2.37,,,,
17:49:13.491 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:13.491 -> S-0.02 -4.84 158.81 2.37,,,,
17:49:13.528 -> S-0.02 -4.79 158.81 2.37,,,,
17:49:13.528 -> S-0.02 -4.66 158.81 2.37,,,,
17:49:13.528 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.528 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.528 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.528 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.562 -> S-0.02 -4.79 158.81 2.37,,,,
17:49:13.562 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:13.562 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:13.562 -> S-0.02 -4.74 158.81 2.37,,,,
17:49:13.562 -> S-0.02 -4.74 158.81 2.37,,,,
17:49:13.562 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.597 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.597 -> S-0.02 -4.76 158.81 2.37,,,,
17:49:13.597 -> S-0.02 -4.84 158.81 2.37,,,,
17:49:13.597 -> S-0.02 -4.86 158.81 2.37,,,,
17:49:13.597 -> S-0.02 -4.81 158.81 2.37,,,,
17:49:13.597 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.632 -> S-0.01 -4.55 158.81 2.37,,,,
17:49:13.632 -> S-0.01 -4.55 158.81 2.37,,,,
17:49:13.632 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.632 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.632 -> S-0.02 -4.74 158.81 2.37,,,,
17:49:13.632 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.666 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.666 -> S-0.01 -4.58 158.81 2.37,,,,
17:49:13.666 -> S-0.01 -4.58 158.81 2.37,,,,
17:49:13.666 -> S-0.01 -4.58 158.81 2.37,,,,
17:49:13.666 -> S-0.01 -4.58 158.81 2.37,,,,
17:49:13.705 -> S-0.02 -4.66 158.81 2.37,,,,
17:49:13.705 -> S-0.02 -4.84 158.81 2.37,,,,
17:49:13.705 -> S-0.02 -4.89 158.81 2.37,,,,
17:49:13.705 -> S-0.02 -4.79 158.81 2.37,,,,
17:49:13.705 -> S-0.02 -4.74 158.81 2.37,,,,
17:49:13.705 -> S-0.02 -4.71 158.81 2.37,,,,
17:49:13.705 -> S-0.01 -4.63 158.81 2.37,,,,
17:49:13.738 -> S-0.01 -4.58 158.81 2.37,,,,
17:49:13.738 -> S-0.01 -4.63 158.81 2.37,,,,
17:49:13.738 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.738 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.738 -> S-0.02 -4.66 158.81 2.37,,,,
17:49:13.775 -> S-0.01 -4.58 158.81 2.37,,,,
17:49:13.775 -> S-0.01 -4.58 158.81 2.37,,,,
17:49:13.775 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.775 -> S-0.01 -4.55 158.81 2.37,,,,
17:49:13.775 -> S-0.01 -4.44 158.81 2.37,,,,
17:49:13.775 -> S-0.01 -4.39 158.81 2.37,,,,
17:49:13.775 -> S-0.01 -4.42 158.81 2.37,,,,
17:49:13.810 -> S-0.01 -4.44 158.81 2.37,,,,
17:49:13.810 -> S-0.01 -4.47 158.81 2.37,,,,
17:49:13.810 -> S-0.01 -4.55 158.81 2.37,,,,
17:49:13.810 -> S-0.01 -4.63 158.81 2.37,,,,
17:49:13.810 -> S-0.01 -4.63 158.81 2.37,,,,
17:49:13.844 -> S-0.01 -4.53 158.81 2.37,,,,
17:49:13.844 -> S-0.01 -4.39 158.81 2.37,,,,
17:49:13.844 -> S-0.01 -4.36 158.81 2.37,,,,
17:49:13.844 -> S-0.01 -4.50 158.81 2.37,,,,
17:49:13.844 -> S-0.02 -4.66 158.81 2.37,,,,
17:49:13.877 -> S-0.02 -4.68 158.81 2.37,,,,
17:49:13.877 -> S-0.01 -4.61 158.81 2.37,,,,
17:49:13.877 -> S-0.01 -4.53 158.81 2.37,,,,
17:49:13.877 -> S-0.01 -4.36 158.81 2.37,,,,
17:49:13.877 -> S-0.01 -4.30 158.81 2.37,,,,
17:49:13.877 -> S-0.01 -4.36 158.81 2.37,,,,
17:49:13.877 -> S-0.01 -4.42 158.81 2.37,,,,
17:49:13.912 -> S-0.01 -4.44 158.81 2.37,,,,
17:49:13.912 -> S-0.01 -4.39 158.81 2.37,,,,
17:49:13.912 -> S-0.01 -4.30 158.81 2.37,,,,
17:49:13.912 -> S-0.01 -4.28 158.81 2.37,,,,
17:49:13.912 -> S-0.01 -4.28 158.81 2.37,,,,
17:49:13.945 -> S-0.01 -4.39 158.81 2.37,,,,
17:49:13.945 -> S-0.01 -4.47 158.81 2.37,,,,
17:49:13.945 -> S-0.01 -4.50 158.81 2.37,,,,
17:49:13.945 -> S-0.01 -4.47 158.81 2.37,,,,
17:49:13.945 -> S-0.01 -4.33 158.81 2.37,,,,
17:49:13.945 -> S-0.01 -4.16 158.81 2.37,,,,
17:49:13.979 -> S-0.01 -4.10 158.81 2.37,,,,
17:49:13.979 -> S-0.01 -4.13 158.81 2.37,,,,
17:49:13.979 -> S-0.01 -4.28 158.81 2.37,,,,
17:49:13.979 -> S-0.01 -4.42 158.81 2.37,,,,
17:49:13.979 -> S-0.01 -4.55 158.81 2.37,,,,
17:49:13.979 -> S-0.01 -4.55 158.81 2.37,,,,
17:49:14.017 -> S-0.01 -4.39 158.81 2.37,,,,
17:49:14.017 -> S-0.01 -4.13 158.81 2.37,,,,
17:49:14.017 -> S-0.01 -4.16 158.81 2.37,,,,
17:49:14.017 -> S-0.01 -4.25 158.81 2.37,,,,
17:49:14.017 -> S-0.01 -4.30 158.81 2.37,,,,
17:49:14.017 -> S-0.01 -4.36 158.81 2.37,,,,
17:49:14.053 -> S-0.01 -4.36 158.81 2.37,,,,
17:49:14.053 -> S-0.01 -4.25 158.81 2.37,,,,
17:49:14.053 -> S-0.01 -4.13 158.81 2.37,,,,
17:49:14.053 -> S-0.01 -4.10 158.81 2.37,,,,
17:49:14.053 -> S-0.01 -4.19 158.81 2.37,,,,
17:49:14.090 -> S-0.01 -4.36 158.81 2.37,,,,
17:49:14.090 -> S-0.01 -4.39 158.81 2.37,,,,
17:49:14.090 -> S-0.01 -4.36 158.81 2.37,,,,
17:49:14.090 -> S-0.01 -4.36 158.81 2.37,,,,
17:49:14.090 -> S-0.01 -4.47 158.81 2.37,,,,
17:49:14.090 -> S-0.01 -4.50 158.81 2.37,,,,
17:49:14.123 -> S-0.01 -4.39 158.81 2.37,,,,
17:49:14.123 -> S-0.01 -4.22 158.81 2.37,,,,
17:49:14.123 -> S-0.01 -4.16 158.81 2.37,,,,
17:49:14.123 -> S-0.01 -4.19 158.81 2.37,,,,
17:49:14.123 -> S-0.01 -4.28 158.81 2.37,,,,
17:49:14.123 -> S-0.01 -4.30 158.81 2.37,,,,
17:49:14.123 -> S-0.01 -4.47 158.81 2.37,,,,
17:49:14.159 -> S-0.01 -4.50 158.81 2.37,,,,
17:49:14.159 -> S-0.01 -4.36 158.81 2.37,,,,
17:49:14.159 -> S-0.01 -4.25 158.81 2.37,,,,
17:49:14.159 -> S-0.01 -4.19 158.81 2.37,,,,
17:49:14.159 -> S-0.01 -4.16 158.81 2.37,,,,
17:49:14.193 -> S-0.01 -4.13 158.81 2.37,,,,
17:49:14.193 -> S-0.01 -4.13 158.81 2.37,,,,
17:49:14.193 -> S-0.01 -4.16 158.81 2.37,,,,
17:49:14.193 -> S-0.01 -4.13 158.81 2.37,,,,
17:49:14.193 -> S-0.01 -4.16 158.81 2.37,,,,
17:49:14.193 -> S-0.01 -4.16 158.81 2.37,,,,
17:49:14.228 -> S-0.01 -4.13 158.81 2.37,,,,
17:49:14.228 -> S-0.01 -4.10 158.81 2.37,,,,
17:49:14.228 -> S-0.01 -4.16 158.81 2.37,,,,
17:49:14.228 -> S-0.01 -4.22 158.81 2.37,,,,
17:49:14.228 -> S-0.01 -4.36 158.81 2.37,,,,
17:49:14.228 -> S-0.01 -4.36 158.81 2.37,,,,
17:49:14.262 -> S-0.01 -4.19 158.81 2.37,,,,
17:49:14.262 -> S-0.01 -4.04 158.81 2.37,,,,
17:49:14.262 -> S-0.01 -3.98 158.81 2.37,,,,
17:49:14.262 -> S-0.01 -4.04 158.81 2.37,,,,
17:49:14.262 -> S-0.01 -4.10 158.81 2.37,,,,
17:49:14.262 -> S-0.01 -4.10 158.81 2.37,,,,
17:49:14.295 -> S-0.01 -4.07 158.81 2.37,,,,
17:49:14.295 -> S-0.01 -4.04 158.81 2.37,,,,
17:49:14.295 -> S-0.01 -4.07 158.81 2.37,,,,
17:49:14.295 -> S-0.01 -4.07 158.81 2.37,,,,
17:49:14.295 -> S-0.01 -4.07 158.81 2.37,,,,
17:49:14.329 -> S-0.01 -4.04 158.81 2.37,,,,
17:49:14.329 -> S-0.01 -3.98 158.81 2.37,,,,
17:49:14.329 -> S-0.01 -3.92 158.81 2.37,,,,
17:49:14.329 -> S-0.01 -3.95 158.81 2.37,,,,
17:49:14.329 -> S-0.01 -4.04 158.81 2.37,,,,
17:49:14.329 -> S-0.01 -4.13 158.81 2.37,,,,
17:49:14.363 -> S-0.01 -4.13 158.81 2.37,,,,
17:49:14.363 -> S-0.01 -4.04 158.81 2.37,,,,
17:49:14.363 -> S-0.01 -4.01 158.81 2.37,,,,
17:49:14.363 -> S-0.01 -4.01 158.81 2.37,,,,
17:49:14.363 -> S-0.01 -3.95 158.81 2.37,,,,
17:49:14.397 -> S-0.01 -3.89 158.81 2.37,,,,
17:49:14.397 -> S-0.01 -3.86 158.81 2.37,,,,
17:49:14.397 -> S-0.01 -3.95 158.81 2.37,,,,
17:49:14.397 -> S-0.01 -4.04 158.81 2.37,,,,
17:49:14.397 -> S-0.01 -4.04 158.81 2.37,,,,
17:49:14.397 -> S-0.01 -4.01 158.81 2.37,,,,
17:49:14.430 -> S-0.01 -3.92 158.81 2.37,,,,
17:49:14.430 -> S-0.01 -3.89 158.81 2.37,,,,
17:49:14.430 -> S-0.01 -3.89 158.81 2.37,,,,
17:49:14.430 -> S-0.01 -3.92 158.81 2.37,,,,
17:49:14.430 -> S-0.01 -3.98 158.81 2.37,,,,
17:49:14.430 -> S-0.01 -4.01 158.81 2.37,,,,
17:49:14.465 -> S-0.01 -3.95 158.81 2.37,,,,
17:49:14.465 -> S-0.01 -3.95 158.81 2.37,,,,
17:49:14.465 -> S-0.01 -3.98 158.81 2.37,,,,
17:49:14.465 -> S-0.01 -3.98 158.81 2.37,,,,
17:49:14.465 -> S-0.01 -3.98 158.81 2.37,,,,
17:49:14.499 -> S-0.01 -4.07 158.81 2.37,,,,
17:49:14.499 -> S-0.01 -4.04 158.81 2.37,,,,
17:49:14.499 -> S-0.01 -3.98 158.81 2.37,,,,
17:49:14.499 -> S-0.01 -4.04 158.81 2.37,,,,
17:49:14.499 -> S-0.01 -4.19 158.81 2.37,,,,
17:49:14.499 -> S-0.01 -4.25 158.81 2.37,,,,
17:49:14.536 -> S-0.01 -4.19 158.81 2.37,,,,
17:49:14.536 -> S-0.01 -4.01 158.81 2.37,,,,
17:49:14.536 -> S-0.01 -3.86 158.81 2.37,,,,
17:49:14.536 -> S-0.01 -3.76 158.81 2.37,,,,
17:49:14.536 -> S-0.01 -3.79 158.81 2.37,,,,
17:49:14.536 -> S-0.01 -3.86 158.81 2.37,,,,
17:49:14.570 -> S-0.01 -3.89 158.81 2.37,,,,
17:49:14.570 -> S-0.01 -3.86 158.81 2.37,,,,
17:49:14.570 -> S-0.01 -3.86 158.81 2.37,,,,
17:49:14.570 -> S-0.01 -3.86 158.81 2.37,,,,
17:49:14.570 -> S-0.01 -3.86 158.81 2.37,,,,
17:49:14.570 -> S-0.01 -3.82 158.81 2.37,,,,
17:49:14.606 -> S-0.01 -3.86 158.81 2.37,,,,
17:49:14.606 -> S-0.01 -3.98 158.81 2.37,,,,
17:49:14.606 -> S-0.01 -4.07 158.81 2.37,,,,
17:49:14.606 -> S-0.01 -4.07 158.81 2.37,,,,
17:49:14.606 -> S-0.01 -4.04 158.81 2.37,,,,
17:49:14.640 -> S-0.01 -3.95 158.81 2.37,,,,
17:49:14.640 -> S-0.01 -3.82 158.81 2.37,,,,
17:49:14.640 -> S-0.01 -3.86 158.81 2.37,,,,
17:49:14.640 -> S-0.01 -4.04 158.81 2.37,,,,
17:49:14.640 -> S-0.01 -4.16 158.81 2.37,,,,
17:49:14.640 -> S-0.01 -4.19 158.81 2.37,,,,
17:49:14.640 -> S-0.01 -4.10 158.81 2.37,,,,
17:49:14.675 -> S-0.01 -3.95 158.81 2.37,,,,
17:49:14.675 -> S-0.01 -3.82 158.81 2.37,,,,
17:49:14.675 -> S-0.01 -3.76 158.81 2.37,,,,
17:49:14.675 -> S-0.01 -3.73 158.81 2.37,,,,
17:49:14.675 -> S-0.01 -3.82 158.81 2.37,,,,
17:49:14.712 -> S-0.01 -3.95 158.81 2.37,,,,
17:49:14.712 -> S-0.01 -3.95 158.81 2.37,,,,
17:49:14.712 -> S-0.01 -3.89 158.81 2.37,,,,
17:49:14.712 -> S-0.01 -3.73 158.81 2.37,,,,
17:49:14.712 -> S-0.01 -3.70 158.81 2.37,,,,
17:49:14.712 -> S-0.01 -3.86 158.81 2.37,,,,
17:49:14.712 -> S-0.01 -4.01 158.81 2.37,,,,
17:49:14.749 -> S-0.01 -3.86 158.81 2.37,,,,
17:49:14.749 -> S-0.01 -3.46 158.81 2.37,,,,
17:49:14.749 -> S-0.01 -3.35 158.81 2.37,,,,
17:49:14.749 -> S-0.01 -3.53 158.81 2.37,,,,
17:49:14.749 -> S-0.01 -3.66 158.81 2.37,,,,
17:49:14.786 -> S-0.01 -3.73 158.81 2.37,,,,
17:49:14.786 -> S-0.01 -3.79 158.81 2.37,,,,
17:49:14.786 -> S-0.01 -3.92 158.81 2.37,,,,
17:49:14.786 -> S-0.01 -4.01 158.81 2.37,,,,
17:49:14.786 -> S-0.01 -3.98 158.81 2.37,,,,
17:49:14.786 -> S-0.01 -3.86 158.81 2.37,,,,
17:49:14.823 -> S-0.01 -3.70 158.81 2.37,,,,
17:49:14.823 -> S-0.01 -3.63 158.81 2.37,,,,
17:49:14.823 -> S-0.01 -3.76 158.81 2.37,,,,
17:49:14.823 -> S0.03 6.88 158.81 2.37,,,,
17:49:14.823 -> S0.09 11.53 158.81 2.37,,,,
17:49:14.823 -> S0.15 14.62 158.81 2.37,,,,
17:49:14.823 -> S0.18 15.89 158.81 2.37,,,,
17:49:14.858 -> S0.16 15.13 158.81 2.37,,,,
17:49:14.858 -> S0.14 14.12 158.81 2.37,,,,
17:49:14.858 -> S0.12 12.97 158.81 2.37,,,,
17:49:14.858 -> S0.10 11.73 158.81 2.37,,,,
17:49:14.858 -> S0.08 10.67 158.81 2.37,,,,
17:49:14.858 -> S0.07 9.85 158.81 2.37,,,,
17:49:14.892 -> S0.07 10.14 158.81 2.37,,,,
17:49:14.892 -> S0.07 9.68 158.81 2.37,,,,
17:49:14.892 -> S0.07 10.01 158.81 2.37,,,,
17:49:14.892 -> S0.08 10.85 158.81 2.37,,,,
17:49:14.892 -> S0.09 11.66 158.81 2.37,,,,
17:49:14.928 -> S0.10 11.78 158.81 2.37,,,,
17:49:14.928 -> S0.11 12.28 158.81 2.37,,,,
17:49:14.928 -> S0.11 12.48 158.81 2.37,,,,
17:49:14.928 -> S0.10 11.95 158.81 2.37,,,,
17:49:14.928 -> S0.09 11.50 158.81 2.37,,,,
17:49:14.928 -> S0.08 10.90 158.81 2.37,,,,
17:49:14.962 -> S0.07 10.18 158.81 2.37,,,,
17:49:14.962 -> S0.07 9.93 158.81 2.37,,,,
17:49:14.962 -> S0.07 10.32 158.81 2.37,,,,
17:49:14.962 -> S0.08 10.85 158.81 2.37,,,,
17:49:14.962 -> S0.09 11.50 158.81 2.37,,,,
17:49:14.962 -> S0.10 11.83 158.81 2.37,,,,
17:49:15.000 -> S0.10 11.77 158.81 2.37,,,,
17:49:15.000 -> S0.10 11.78 158.81 2.37,,,,
17:49:15.000 -> S0.09 11.52 158.81 2.37,,,,
17:49:15.000 -> S0.09 11.56 158.81 2.37,,,,
17:49:15.000 -> S0.09 11.11 158.81 2.37,,,,
17:49:15.000 -> S0.08 10.72 158.81 2.37,,,,
17:49:15.000 -> S0.08 11.00 158.81 2.37,,,,
17:49:15.038 -> S0.09 11.18 158.81 2.37,,,,
17:49:15.038 -> S0.09 11.27 158.81 2.37,,,,
17:49:15.038 -> S0.10 11.75 158.81 2.37,,,,
17:49:15.038 -> S0.10 11.98 158.81 2.37,,,,
17:49:15.038 -> S0.09 11.66 158.81 2.37,,,,
17:49:15.038 -> S0.09 11.40 158.81 2.37,,,,
17:49:15.076 -> S0.09 11.05 158.81 2.37,,,,
17:49:15.076 -> S0.09 11.11 158.81 2.37,,,,
17:49:15.076 -> S0.08 10.94 158.81 2.37,,,,
17:49:15.076 -> S0.08 10.91 158.81 2.37,,,,
17:49:15.076 -> S0.08 10.98 158.81 2.37,,,,
