,Min1,Max1,Min2,Max2
Compliance (L/cmh20),0.15,,,
Port,Patient,,,
Left Pressure (cmH20),6,6.5,,
Right Pressure (cmH20),3,3.5,,
Left Volume(L),0.4,0.49,0.4,0.48
Right Volume(L),0.39,0.47,0.4,0.48
Breat Rate (breath/min),15,,,
I:E,1:3,,,
Flow Rate (L/min),10,,,
,,,,
17:47:07.633 -> S0.09 11.44 0.00 0.00,,,,
17:47:07.633 -> S0.09 11.31 0.00 0.00,,,,
17:47:07.633 -> S0.09 11.34 0.00 0.00,,,,
17:47:07.633 -> S0.09 11.46 0.00 0.00,,,,
17:47:07.671 -> S0.09 11.59 0.00 0.00,,,,
17:47:07.671 -> S0.09 11.64 0.00 0.00,,,,
17:47:07.671 -> S0.10 11.75 0.00 0.00,,,,
17:47:07.671 -> S0.06 9.37 0.00 0.00,,,,
17:47:07.671 -> S-0.01 -3.49 111.02 0.11,,,,
17:47:07.671 -> S-0.05 -8.31 111.02 0.11,,,,
17:47:07.671 -> S-0.05 -8.50 111.02 0.11,,,,
17:47:07.705 -> S-0.04 -7.98 111.02 0.11,,,,
17:47:07.705 -> S-0.03 -6.86 111.02 0.11,,,,
17:47:07.705 -> S-0.02 -5.36 111.02 0.11,,,,
17:47:07.705 -> S-0.01 -3.63 111.02 0.11,,,,
17:47:07.705 -> S-0.00 -2.66 111.02 0.11,,,,
17:47:07.705 -> S-0.00 -2.52 111.02 0.11,,,,
17:47:07.738 -> S-0.01 -3.46 111.02 0.11,,,,
17:47:07.738 -> S-0.01 -4.16 111.02 0.11,,,,
17:47:07.738 -> S-0.01 -4.25 111.02 0.11,,,,
17:47:07.738 -> S-0.01 -4.47 111.02 0.11,,,,
17:47:07.738 -> S-0.01 -4.55 111.02 0.11,,,,
17:47:07.774 -> S-0.01 -4.47 111.02 0.11,,,,
17:47:07.774 -> S-0.01 -3.98 111.02 0.11,,,,
17:47:07.774 -> S-0.01 -3.59 111.02 0.11,,,,
17:47:07.774 -> S-0.01 -3.59 111.02 0.11,,,,
17:47:07.774 -> S-0.01 -3.95 111.02 0.11,,,,
17:47:07.774 -> S-0.01 -4.42 111.02 0.11,,,,
17:47:07.812 -> S-0.02 -4.68 111.02 0.11,,,,
17:47:07.812 -> S-0.02 -4.84 111.02 0.11,,,,
17:47:07.812 -> S-0.02 -4.86 111.02 0.11,,,,
17:47:07.812 -> S-0.02 -4.81 111.02 0.11,,,,
17:47:07.812 -> S-0.02 -4.74 111.02 0.11,,,,
17:47:07.812 -> S-0.01 -4.55 111.02 0.11,,,,
17:47:07.846 -> S-0.01 -4.44 111.02 0.11,,,,
17:47:07.846 -> S-0.01 -4.55 111.02 0.11,,,,
17:47:07.846 -> S-0.02 -4.89 111.02 0.11,,,,
17:47:07.846 -> S-0.02 -5.18 111.02 0.11,,,,
17:47:07.846 -> S-0.02 -5.39 111.02 0.11,,,,
17:47:07.846 -> S-0.02 -5.56 111.02 0.11,,,,
17:47:07.882 -> S-0.02 -5.65 111.02 0.11,,,,
17:47:07.882 -> S-0.02 -5.50 111.02 0.11,,,,
17:47:07.882 -> S-0.02 -5.18 111.02 0.11,,,,
17:47:07.882 -> S-0.02 -4.76 111.02 0.11,,,,
17:47:07.882 -> S-0.01 -4.44 111.02 0.11,,,,
17:47:07.882 -> S-0.01 -4.50 111.02 0.11,,,,
17:47:07.918 -> S-0.02 -4.84 111.02 0.11,,,,
17:47:07.918 -> S-0.02 -5.11 111.02 0.11,,,,
17:47:07.918 -> S-0.02 -5.25 111.02 0.11,,,,
17:47:07.918 -> S-0.02 -5.25 111.02 0.11,,,,
17:47:07.918 -> S-0.02 -5.13 111.02 0.11,,,,
17:47:07.918 -> S-0.02 -5.20 111.02 0.11,,,,
17:47:07.955 -> S-0.02 -5.39 111.02 0.11,,,,
17:47:07.955 -> S-0.02 -5.34 111.02 0.11,,,,
17:47:07.955 -> S-0.02 -5.20 111.02 0.11,,,,
17:47:07.955 -> S-0.02 -5.08 111.02 0.11,,,,
17:47:07.955 -> S-0.02 -4.91 111.02 0.11,,,,
17:47:07.955 -> S-0.02 -4.68 111.02 0.11,,,,
17:47:07.990 -> S-0.01 -4.61 111.02 0.11,,,,
17:47:07.990 -> S-0.02 -4.68 111.02 0.11,,,,
17:47:07.990 -> S-0.02 -4.79 111.02 0.11,,,,
17:47:07.990 -> S-0.02 -4.94 111.02 0.11,,,,
17:47:07.990 -> S-0.02 -5.06 111.02 0.11,,,,
17:47:07.990 -> S-0.02 -5.18 111.02 0.11,,,,
17:47:08.027 -> S-0.02 -5.36 111.02 0.11,,,,
17:47:08.027 -> S-0.02 -5.25 111.02 0.11,,,,
17:47:08.027 -> S-0.02 -5.01 111.02 0.11,,,,
17:47:08.027 -> S-0.01 -4.55 111.02 0.11,,,,
17:47:08.027 -> S-0.01 -4.10 111.02 0.11,,,,
17:47:08.027 -> S-0.01 -3.70 111.02 0.11,,,,
17:47:08.064 -> S-0.01 -3.56 111.02 0.11,,,,
17:47:08.064 -> S-0.01 -3.49 111.02 0.11,,,,
17:47:08.064 -> S-0.01 -3.59 111.02 0.11,,,,
17:47:08.064 -> S-0.01 -3.76 111.02 0.11,,,,
17:47:08.064 -> S-0.01 -3.92 111.02 0.11,,,,
17:47:08.064 -> S-0.01 -4.16 111.02 0.11,,,,
17:47:08.099 -> S-0.01 -4.47 111.02 0.11,,,,
17:47:08.099 -> S-0.02 -4.71 111.02 0.11,,,,
17:47:08.099 -> S-0.02 -4.84 111.02 0.11,,,,
17:47:08.099 -> S-0.02 -4.94 111.02 0.11,,,,
17:47:08.099 -> S-0.02 -5.13 111.02 0.11,,,,
17:47:08.099 -> S-0.02 -5.30 111.02 0.11,,,,
17:47:08.134 -> S-0.02 -5.32 111.02 0.11,,,,
17:47:08.134 -> S-0.02 -5.11 111.02 0.11,,,,
17:47:08.134 -> S-0.02 -4.89 111.02 0.11,,,,
17:47:08.134 -> S-0.02 -4.68 111.02 0.11,,,,
17:47:08.134 -> S-0.01 -4.53 111.02 0.11,,,,
17:47:08.134 -> S-0.01 -4.53 111.02 0.11,,,,
17:47:08.171 -> S-0.01 -4.58 111.02 0.11,,,,
17:47:08.171 -> S-0.01 -4.55 111.02 0.11,,,,
17:47:08.171 -> S-0.01 -4.61 111.02 0.11,,,,
17:47:08.171 -> S-0.02 -4.74 111.02 0.11,,,,
17:47:08.171 -> S-0.02 -4.96 111.02 0.11,,,,
17:47:08.171 -> S-0.02 -5.27 111.02 0.11,,,,
17:47:08.171 -> S-0.02 -5.30 111.02 0.11,,,,
17:47:08.207 -> S-0.02 -5.06 111.02 0.11,,,,
17:47:08.207 -> S-0.02 -4.71 111.02 0.11,,,,
17:47:08.207 -> S-0.01 -4.10 111.02 0.11,,,,
17:47:08.207 -> S-0.01 -3.46 111.02 0.11,,,,
17:47:08.207 -> S-0.01 -3.04 111.02 0.11,,,,
17:47:08.244 -> S-0.01 -3.42 111.02 0.11,,,,
17:47:08.244 -> S-0.01 -4.36 111.02 0.11,,,,
17:47:08.244 -> S-0.02 -5.18 111.02 0.11,,,,
17:47:08.244 -> S-0.02 -5.54 111.02 0.11,,,,
17:47:08.244 -> S-0.02 -5.27 111.02 0.11,,,,
17:47:08.244 -> S-0.01 -4.58 111.02 0.11,,,,
17:47:08.278 -> S-0.01 -3.79 111.02 0.11,,,,
17:47:08.278 -> S-0.01 -3.56 111.02 0.11,,,,
17:47:08.278 -> S-0.01 -3.86 111.02 0.11,,,,
17:47:08.278 -> S-0.01 -3.92 111.02 0.11,,,,
17:47:08.278 -> S-0.01 -3.76 111.02 0.11,,,,
17:47:08.278 -> S-0.01 -3.53 111.02 0.11,,,,
17:47:08.314 -> S-0.01 -3.59 111.02 0.11,,,,
17:47:08.314 -> S-0.01 -3.86 111.02 0.11,,,,
17:47:08.314 -> S-0.01 -4.10 111.02 0.11,,,,
17:47:08.314 -> S-0.01 -4.28 111.02 0.11,,,,
17:47:08.314 -> S-0.01 -4.28 111.02 0.11,,,,
17:47:08.314 -> S-0.01 -4.01 111.02 0.11,,,,
17:47:08.347 -> S-0.01 -3.89 111.02 0.11,,,,
17:47:08.347 -> S-0.01 -3.86 111.02 0.11,,,,
17:47:08.347 -> S-0.01 -3.73 111.02 0.11,,,,
17:47:08.347 -> S-0.01 -3.70 111.02 0.11,,,,
17:47:08.347 -> S-0.01 -3.76 111.02 0.11,,,,
17:47:08.347 -> S-0.01 -3.92 111.02 0.11,,,,
17:47:08.383 -> S-0.01 -4.04 111.02 0.11,,,,
17:47:08.383 -> S-0.01 -4.01 111.02 0.11,,,,
17:47:08.383 -> S-0.01 -3.86 111.02 0.11,,,,
17:47:08.383 -> S-0.01 -3.59 111.02 0.11,,,,
17:47:08.383 -> S-0.01 -3.35 111.02 0.11,,,,
17:47:08.417 -> S-0.01 -3.31 111.02 0.11,,,,
17:47:08.417 -> S-0.01 -3.56 111.02 0.11,,,,
17:47:08.417 -> S-0.01 -3.86 111.02 0.11,,,,
17:47:08.417 -> S-0.01 -4.07 111.02 0.11,,,,
17:47:08.417 -> S-0.01 -4.36 111.02 0.11,,,,
17:47:08.417 -> S-0.02 -4.66 111.02 0.11,,,,
17:47:08.454 -> S-0.02 -4.81 111.02 0.11,,,,
17:47:08.454 -> S-0.02 -4.68 111.02 0.11,,,,
17:47:08.454 -> S-0.01 -4.30 111.02 0.11,,,,
17:47:08.454 -> S-0.01 -3.89 111.02 0.11,,,,
17:47:08.454 -> S-0.01 -3.63 111.02 0.11,,,,
17:47:08.454 -> S-0.01 -3.49 111.02 0.11,,,,
17:47:08.454 -> S-0.01 -3.66 111.02 0.11,,,,
17:47:08.490 -> S-0.01 -3.95 111.02 0.11,,,,
17:47:08.490 -> S-0.01 -4.22 111.02 0.11,,,,
17:47:08.490 -> S-0.01 -4.33 111.02 0.11,,,,
17:47:08.490 -> S-0.01 -4.39 111.02 0.11,,,,
17:47:08.490 -> S-0.01 -4.28 111.02 0.11,,,,
17:47:08.527 -> S-0.01 -4.04 111.02 0.11,,,,
17:47:08.527 -> S-0.01 -3.82 111.02 0.11,,,,
17:47:08.527 -> S-0.01 -3.63 111.02 0.11,,,,
17:47:08.527 -> S-0.01 -3.53 111.02 0.11,,,,
17:47:08.527 -> S-0.01 -3.66 111.02 0.11,,,,
17:47:08.527 -> S-0.01 -3.70 111.02 0.11,,,,
17:47:08.527 -> S-0.01 -3.49 111.02 0.11,,,,
17:47:08.562 -> S-0.01 -3.12 111.02 0.11,,,,
17:47:08.562 -> S-0.01 -2.92 111.02 0.11,,,,
17:47:08.562 -> S-0.01 -3.00 111.02 0.11,,,,
17:47:08.562 -> S-0.01 -3.28 111.02 0.11,,,,
17:47:08.562 -> S-0.01 -3.63 111.02 0.11,,,,
17:47:08.600 -> S-0.01 -3.79 111.02 0.11,,,,
17:47:08.600 -> S-0.01 -3.70 111.02 0.11,,,,
17:47:08.600 -> S-0.01 -3.56 111.02 0.11,,,,
17:47:08.600 -> S-0.01 -3.53 111.02 0.11,,,,
17:47:08.600 -> S-0.01 -3.56 111.02 0.11,,,,
17:47:08.600 -> S-0.01 -3.53 111.02 0.11,,,,
17:47:08.638 -> S-0.01 -3.49 111.02 0.11,,,,
17:47:08.638 -> S-0.01 -3.31 111.02 0.11,,,,
17:47:08.638 -> S-0.01 -3.20 111.02 0.11,,,,
17:47:08.638 -> S-0.01 -3.16 111.02 0.11,,,,
17:47:08.638 -> S-0.01 -3.08 111.02 0.11,,,,
17:47:08.638 -> S-0.01 -3.12 111.02 0.11,,,,
17:47:08.638 -> S-0.01 -3.12 111.02 0.11,,,,
17:47:08.675 -> S-0.01 -3.12 111.02 0.11,,,,
17:47:08.675 -> S-0.01 -3.28 111.02 0.11,,,,
17:47:08.675 -> S-0.01 -3.63 111.02 0.11,,,,
17:47:08.675 -> S-0.01 -3.89 111.02 0.11,,,,
17:47:08.675 -> S-0.01 -3.89 111.02 0.11,,,,
17:47:08.675 -> S-0.01 -3.53 111.02 0.11,,,,
17:47:08.713 -> S-0.01 -3.00 111.02 0.11,,,,
17:47:08.713 -> S-0.01 -2.96 111.02 0.11,,,,
17:47:08.713 -> S-0.01 -3.49 111.02 0.11,,,,
17:47:08.713 -> S-0.01 -4.13 111.02 0.11,,,,
17:47:08.713 -> S-0.01 -4.50 111.02 0.11,,,,
17:47:08.713 -> S-0.01 -4.47 111.02 0.11,,,,
17:47:08.713 -> S-0.01 -4.16 111.02 0.11,,,,
17:47:08.747 -> S-0.01 -3.82 111.02 0.11,,,,
17:47:08.747 -> S-0.01 -3.56 111.02 0.11,,,,
17:47:08.747 -> S-0.01 -3.16 111.02 0.11,,,,
17:47:08.747 -> S-0.01 -2.84 111.02 0.11,,,,
17:47:08.747 -> S-0.01 -2.70 111.02 0.11,,,,
17:47:08.784 -> S-0.01 -2.96 111.02 0.11,,,,
17:47:08.784 -> S-0.01 -3.31 111.02 0.11,,,,
17:47:08.784 -> S-0.01 -3.59 111.02 0.11,,,,
17:47:08.784 -> S-0.01 -3.79 111.02 0.11,,,,
17:47:08.784 -> S-0.01 -3.95 111.02 0.11,,,,
17:47:08.784 -> S-0.01 -4.01 111.02 0.11,,,,
17:47:08.821 -> S-0.01 -3.89 111.02 0.11,,,,
17:47:08.821 -> S-0.01 -3.66 111.02 0.11,,,,
