,Min1,Max1,Min2,Max2
17:43:16.788 -> S-0.00 -2.66 153.62 2.31,,,,
17:43:16.824 -> S-0.01 -2.75 153.62 2.31,,,,
17:43:16.824 -> S-0.01 -2.84 153.62 2.31,,,,
17:43:16.824 -> S-0.00 -2.57 153.62 2.31,,,,
17:43:16.824 -> S-0.00 -2.61 153.62 2.31,,,,
17:43:16.824 -> S-0.01 -2.96 153.62 2.31,,,,
17:43:16.824 -> S-0.01 -2.96 153.62 2.31,,,,
17:43:16.858 -> S-0.00 -2.61 153.62 2.31,,,,
17:43:16.858 -> S-0.00 -2.37 153.62 2.31,,,,
17:43:16.858 -> S-0.00 -2.47 153.62 2.31,,,,
17:43:16.858 -> S-0.00 -2.47 153.62 2.31,,,,
17:43:16.858 -> S-0.00 -2.52 153.62 2.31,,,,
17:43:16.858 -> S-0.01 -2.84 153.62 2.31,,,,
17:43:16.858 -> S-0.01 -3.08 153.62 2.31,,,,
17:43:16.891 -> S-0.01 -2.84 153.62 2.31,,,,
17:43:16.891 -> S-0.00 -2.37 153.62 2.31,,,,
17:43:16.891 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:16.891 -> S-0.00 -2.61 153.62 2.31,,,,
17:43:16.925 -> S-0.00 -2.57 153.62 2.31,,,,
17:43:16.925 -> S-0.00 -2.61 153.62 2.31,,,,
17:43:16.925 -> S-0.01 -2.79 153.62 2.31,,,,
17:43:16.925 -> S-0.01 -2.92 153.62 2.31,,,,
17:43:16.925 -> S-0.00 -2.66 153.62 2.31,,,,
17:43:16.925 -> S-0.00 -2.52 153.62 2.31,,,,
17:43:16.925 -> S-0.00 -2.61 153.62 2.31,,,,
17:43:16.961 -> S-0.00 -2.57 153.62 2.31,,,,
17:43:16.961 -> S-0.00 -2.21 153.62 2.31,,,,
17:43:16.961 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:16.961 -> S-0.01 -2.70 153.62 2.31,,,,
17:43:16.961 -> S-0.01 -2.79 153.62 2.31,,,,
17:43:16.998 -> S-0.00 -2.52 153.62 2.31,,,,
17:43:16.998 -> S-0.00 -2.52 153.62 2.31,,,,
17:43:16.998 -> S-0.00 -2.57 153.62 2.31,,,,
17:43:16.998 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:16.998 -> S-0.00 -2.15 153.62 2.31,,,,
17:43:16.998 -> S-0.00 -2.42 153.62 2.31,,,,
17:43:16.998 -> S-0.01 -2.70 153.62 2.31,,,,
17:43:17.034 -> S-0.00 -2.42 153.62 2.31,,,,
17:43:17.034 -> S-0.00 -2.21 153.62 2.31,,,,
17:43:17.034 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:17.034 -> S-0.00 -2.57 153.62 2.31,,,,
17:43:17.034 -> S-0.00 -2.42 153.62 2.31,,,,
17:43:17.034 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:17.068 -> S-0.00 -2.47 153.62 2.31,,,,
17:43:17.068 -> S-0.00 -2.47 153.62 2.31,,,,
17:43:17.068 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:17.068 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:17.068 -> S-0.00 -2.42 153.62 2.31,,,,
17:43:17.105 -> S-0.00 -2.52 153.62 2.31,,,,
17:43:17.105 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:17.105 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:17.105 -> S-0.00 -2.47 153.62 2.31,,,,
17:43:17.105 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:17.105 -> S-0.00 -2.04 153.62 2.31,,,,
17:43:17.105 -> S-0.00 -2.21 153.62 2.31,,,,
17:43:17.143 -> S-0.00 -2.37 153.62 2.31,,,,
17:43:17.143 -> S-0.00 -2.21 153.62 2.31,,,,
17:43:17.143 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:17.143 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:17.143 -> S-0.00 -2.42 153.62 2.31,,,,
17:43:17.143 -> S-0.00 -2.21 153.62 2.31,,,,
17:43:17.176 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:17.176 -> S-0.00 -2.37 153.62 2.31,,,,
17:43:17.176 -> S-0.00 -2.47 153.62 2.31,,,,
17:43:17.176 -> S-0.00 -2.21 153.62 2.31,,,,
17:43:17.176 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:17.214 -> S-0.00 -2.26 153.62 2.31,,,,
17:43:17.214 -> S-0.00 -2.21 153.62 2.31,,,,
17:43:17.214 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:17.214 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.214 -> S-0.00 -2.26 153.62 2.31,,,,
17:43:17.214 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:17.251 -> S-0.00 -2.15 153.62 2.31,,,,
17:43:17.251 -> S-0.00 -2.26 153.62 2.31,,,,
17:43:17.251 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:17.251 -> S-0.00 -2.04 153.62 2.31,,,,
17:43:17.251 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:17.251 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.285 -> S-0.00 -2.21 153.62 2.31,,,,
17:43:17.285 -> S-0.00 -2.15 153.62 2.31,,,,
17:43:17.285 -> S-0.00 -2.04 153.62 2.31,,,,
17:43:17.285 -> S-0.00 -2.21 153.62 2.31,,,,
17:43:17.285 -> S-0.00 -2.26 153.62 2.31,,,,
17:43:17.285 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.285 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:17.319 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:17.319 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:17.319 -> S-0.00 -1.64 153.62 2.31,,,,
17:43:17.319 -> S-0.00 -1.85 153.62 2.31,,,,
17:43:17.319 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:17.356 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:17.356 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.356 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:17.356 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:17.356 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.356 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:17.393 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.393 -> S-0.00 -2.15 153.62 2.31,,,,
17:43:17.393 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.393 -> S-0.00 -1.85 153.62 2.31,,,,
17:43:17.393 -> S-0.00 -2.15 153.62 2.31,,,,
17:43:17.393 -> S-0.00 -2.26 153.62 2.31,,,,
17:43:17.427 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:17.427 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:17.427 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:17.427 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.427 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:17.427 -> S-0.00 -1.85 153.62 2.31,,,,
17:43:17.465 -> S-0.00 -2.26 153.62 2.31,,,,
17:43:17.465 -> S-0.00 -2.15 153.62 2.31,,,,
17:43:17.465 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:17.465 -> S-0.00 -1.64 153.62 2.31,,,,
17:43:17.465 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.465 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:17.465 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:17.502 -> S-0.00 -2.04 153.62 2.31,,,,
17:43:17.502 -> S-0.00 -2.15 153.62 2.31,,,,
17:43:17.502 -> S-0.00 -1.78 153.62 2.31,,,,
17:43:17.502 -> S-0.00 -1.56 153.62 2.31,,,,
17:43:17.502 -> S-0.00 -1.85 153.62 2.31,,,,
17:43:17.502 -> S-0.00 -2.04 153.62 2.31,,,,
17:43:17.535 -> S-0.00 -1.78 153.62 2.31,,,,
17:43:17.535 -> S-0.00 -1.64 153.62 2.31,,,,
17:43:17.535 -> S-0.00 -2.04 153.62 2.31,,,,
17:43:17.535 -> S-0.00 -2.15 153.62 2.31,,,,
17:43:17.535 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:17.571 -> S-0.00 -1.56 153.62 2.31,,,,
17:43:17.571 -> S-0.00 -1.85 153.62 2.31,,,,
17:43:17.571 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:17.571 -> S-0.00 -1.56 153.62 2.31,,,,
17:43:17.571 -> S-0.00 -1.78 153.62 2.31,,,,
17:43:17.571 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:17.604 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.604 -> S-0.00 -1.56 153.62 2.31,,,,
17:43:17.604 -> S-0.00 -1.78 153.62 2.31,,,,
17:43:17.604 -> S-0.00 -2.04 153.62 2.31,,,,
17:43:17.604 -> S-0.00 -1.78 153.62 2.31,,,,
17:43:17.604 -> S-0.00 -1.48 153.62 2.31,,,,
17:43:17.637 -> S-0.00 -1.78 153.62 2.31,,,,
17:43:17.637 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.637 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:17.637 -> S-0.00 -1.56 153.62 2.31,,,,
17:43:17.637 -> S-0.00 -1.85 153.62 2.31,,,,
17:43:17.671 -> S-0.00 -2.04 153.62 2.31,,,,
17:43:17.671 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:17.671 -> S-0.00 -1.64 153.62 2.31,,,,
17:43:17.671 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.671 -> S-0.00 -2.04 153.62 2.31,,,,
17:43:17.671 -> S-0.00 -1.64 153.62 2.31,,,,
17:43:17.707 -> S-0.00 -1.56 153.62 2.31,,,,
17:43:17.707 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:17.707 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:17.707 -> S-0.00 -1.64 153.62 2.31,,,,
17:43:17.707 -> S-0.00 -1.78 153.62 2.31,,,,
17:43:17.707 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:17.741 -> S-0.00 -1.48 153.62 2.31,,,,
17:43:17.741 -> S-0.00 -0.86 153.62 2.31,,,,
17:43:17.741 -> S-0.00 -1.31 153.62 2.31,,,,
17:43:17.741 -> S-0.00 -1.56 153.62 2.31,,,,
17:43:17.741 -> S-0.00 -1.21 153.62 2.31,,,,
17:43:17.775 -> S-0.00 -1.21 153.62 2.31,,,,
17:43:17.775 -> S-0.00 -1.85 153.62 2.31,,,,
17:43:17.775 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:17.775 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:17.775 -> S-0.00 -1.48 153.62 2.31,,,,
17:43:17.775 -> S-0.00 -1.85 153.62 2.31,,,,
17:43:17.809 -> S-0.00 -1.85 153.62 2.31,,,,
17:43:17.809 -> S-0.00 -1.31 153.62 2.31,,,,
17:43:17.809 -> S-0.00 -1.31 153.62 2.31,,,,
17:43:17.809 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:17.809 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.809 -> S-0.00 -1.78 153.62 2.31,,,,
17:43:17.843 -> S-0.00 -1.85 153.62 2.31,,,,
17:43:17.843 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.843 -> S-0.00 -1.64 153.62 2.31,,,,
17:43:17.843 -> S-0.00 -1.10 153.62 2.31,,,,
17:43:17.843 -> S-0.00 -1.40 153.62 2.31,,,,
17:43:17.878 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:17.878 -> S-0.00 -1.31 153.62 2.31,,,,
17:43:17.878 -> S-0.00 -1.10 153.62 2.31,,,,
17:43:17.878 -> S-0.00 -1.64 153.62 2.31,,,,
17:43:17.878 -> S-0.00 -1.98 153.62 2.31,,,,
17:43:17.878 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:17.878 -> S-0.00 -1.64 153.62 2.31,,,,
17:43:17.911 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:17.911 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:17.911 -> S-0.00 -1.31 153.62 2.31,,,,
17:43:17.911 -> S-0.00 -1.10 153.62 2.31,,,,
17:43:17.911 -> S-0.00 -1.48 153.62 2.31,,,,
17:43:17.948 -> S-0.00 -1.48 153.62 2.31,,,,
17:43:17.948 -> S-0.00 -0.86 153.62 2.31,,,,
17:43:17.948 -> S-0.00 -1.10 153.62 2.31,,,,
17:43:17.948 -> S-0.00 -1.56 153.62 2.31,,,,
17:43:17.948 -> S-0.00 -0.86 153.62 2.31,,,,
17:43:17.948 -> S0.00 0.99 153.62 2.31,,,,
17:43:17.981 -> S0.00 0.00 153.62 2.31,,,,
17:43:17.981 -> S-0.00 -1.40 153.62 2.31,,,,
17:43:17.981 -> S-0.00 -1.56 153.62 2.31,,,,
17:43:17.981 -> S-0.00 -1.64 153.62 2.31,,,,
17:43:17.981 -> S-0.00 -2.04 153.62 2.31,,,,
17:43:17.981 -> S-0.00 -2.32 153.62 2.31,,,,
17:43:18.015 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:18.015 -> S-0.00 -1.78 153.62 2.31,,,,
17:43:18.015 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:18.015 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:18.015 -> S-0.00 -1.21 153.62 2.31,,,,
17:43:18.049 -> S-0.00 -0.99 153.62 2.31,,,,
17:43:18.049 -> S-0.00 -1.40 153.62 2.31,,,,
17:43:18.049 -> S-0.00 -1.48 153.62 2.31,,,,
17:43:18.049 -> S-0.00 -0.86 153.62 2.31,,,,
17:43:18.049 -> S-0.00 -0.86 153.62 2.31,,,,
17:43:18.049 -> S-0.00 -1.56 153.62 2.31,,,,
17:43:18.085 -> S-0.00 -1.40 153.62 2.31,,,,
17:43:18.085 -> S-0.00 -0.86 153.62 2.31,,,,
17:43:18.085 -> S-0.00 -1.21 153.62 2.31,,,,
17:43:18.085 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:18.085 -> S-0.00 -1.64 153.62 2.31,,,,
17:43:18.085 -> S-0.00 -1.40 153.62 2.31,,,,
17:43:18.121 -> S-0.00 -1.56 153.62 2.31,,,,
17:43:18.121 -> S-0.00 -1.56 153.62 2.31,,,,
17:43:18.121 -> S-0.00 -1.40 153.62 2.31,,,,
17:43:18.121 -> S-0.00 -1.48 153.62 2.31,,,,
17:43:18.121 -> S-0.00 -1.40 153.62 2.31,,,,
17:43:18.121 -> S-0.00 -0.86 153.62 2.31,,,,
17:43:18.159 -> S-0.00 -0.86 153.62 2.31,,,,
17:43:18.159 -> S-0.00 -1.40 153.62 2.31,,,,
17:43:18.159 -> S-0.00 -1.21 153.62 2.31,,,,
17:43:18.159 -> S-0.00 -0.49 153.62 2.31,,,,
17:43:18.159 -> S0.00 0.99 153.62 2.31,,,,
17:43:18.159 -> S-0.00 -1.21 153.62 2.31,,,,
17:43:18.192 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:18.192 -> S-0.00 -0.70 153.62 2.31,,,,
17:43:18.192 -> S0.00 0.70 153.62 2.31,,,,
17:43:18.192 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:18.192 -> S-0.00 -2.66 153.62 2.31,,,,
17:43:18.228 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:18.228 -> S0.00 0.49 153.62 2.31,,,,
17:43:18.228 -> S0.00 0.49 153.62 2.31,,,,
17:43:18.228 -> S-0.00 -1.64 153.62 2.31,,,,
17:43:18.228 -> S-0.00 -1.64 153.62 2.31,,,,
17:43:18.228 -> S-0.00 -1.21 153.62 2.31,,,,
17:43:18.228 -> S-0.00 -1.21 153.62 2.31,,,,
17:43:18.265 -> S-0.00 -1.31 153.62 2.31,,,,
17:43:18.265 -> S-0.00 -0.86 153.62 2.31,,,,
17:43:18.265 -> S-0.00 -0.99 153.62 2.31,,,,
17:43:18.265 -> S-0.00 -1.40 153.62 2.31,,,,
17:43:18.265 -> S-0.00 -1.31 153.62 2.31,,,,
17:43:18.265 -> S-0.00 -0.86 153.62 2.31,,,,
17:43:18.303 -> S-0.00 -1.31 153.62 2.31,,,,
17:43:18.303 -> S-0.00 -1.78 153.62 2.31,,,,
17:43:18.303 -> S-0.00 -1.48 153.62 2.31,,,,
17:43:18.303 -> S-0.00 -0.49 153.62 2.31,,,,
17:43:18.303 -> S-0.00 -0.99 153.62 2.31,,,,
17:43:18.303 -> S-0.00 -1.71 153.62 2.31,,,,
17:43:18.340 -> S-0.00 -1.78 153.62 2.31,,,,
17:43:18.340 -> S-0.00 -0.99 153.62 2.31,,,,
17:43:18.340 -> S-0.00 -0.49 153.62 2.31,,,,
17:43:18.340 -> S-0.00 -1.40 153.62 2.31,,,,
17:43:18.340 -> S0.00 0.00 153.62 2.31,,,,
17:43:18.340 -> S-0.00 -1.31 153.62 2.31,,,,
17:43:18.373 -> S-0.00 -1.91 153.62 2.31,,,,
17:43:18.373 -> S-0.00 -2.10 153.62 2.31,,,,
17:43:18.373 -> S-0.00 -1.78 153.62 2.31,,,,
17:43:18.373 -> S-0.00 -0.86 153.62 2.31,,,,
17:43:18.373 -> S-0.00 -0.86 153.62 2.31,,,,
17:43:18.373 -> S0.00 0.00 153.62 2.31,,,,
17:43:18.411 -> S0.00 1.21 153.62 2.31,,,,
17:43:18.411 -> S0.00 2.04 153.62 2.31,,,,
17:43:18.411 -> S0.06 9.11 153.62 2.31,,,,
17:43:18.411 -> S0.09 11.10 153.62 2.31,,,,
17:43:18.411 -> S0.15 14.47 153.62 2.31,,,,
17:43:18.411 -> S0.15 14.45 153.62 2.31,,,,
17:43:18.445 -> S0.12 13.30 153.62 2.31,,,,
17:43:18.445 -> S0.09 11.60 153.62 2.31,,,,
17:43:18.445 -> S0.07 10.20 153.62 2.31,,,,
17:43:18.445 -> S0.06 9.00 153.62 2.31,,,,
17:43:18.445 -> S0.06 8.92 153.62 2.31,,,,
17:43:18.445 -> S0.06 9.56 153.62 2.31,,,,
17:43:18.481 -> S0.07 10.26 153.62 2.31,,,,
17:43:18.481 -> S0.08 10.72 153.62 2.31,,,,
17:43:18.481 -> S0.09 11.33 153.62 2.31,,,,
17:43:18.481 -> S0.10 11.83 153.62 2.31,,,,
17:43:18.481 -> S0.10 11.77 153.62 2.31,,,,
17:43:18.515 -> S0.09 11.34 153.62 2.31,,,,
17:43:18.515 -> S0.08 11.03 153.62 2.31,,,,
17:43:18.515 -> S0.08 10.67 153.62 2.31,,,,
17:43:18.515 -> S0.08 10.48 153.62 2.31,,,,
17:43:18.515 -> S0.07 10.32 153.62 2.31,,,,
17:43:18.515 -> S0.08 10.42 153.62 2.31,,,,
17:43:18.548 -> S0.08 10.69 153.62 2.31,,,,
17:43:18.548 -> S0.08 10.83 153.62 2.31,,,,
17:43:18.548 -> S0.08 10.69 153.62 2.31,,,,
17:43:18.548 -> S0.08 10.95 153.62 2.31,,,,
17:43:18.548 -> S0.08 10.98 153.62 2.31,,,,
17:43:18.548 -> S0.08 10.98 153.62 2.31,,,,
17:43:18.582 -> S0.09 11.25 153.62 2.31,,,,
17:43:18.582 -> S0.09 11.20 153.62 2.31,,,,
17:43:18.582 -> S0.09 11.34 153.62 2.31,,,,
17:43:18.582 -> S0.08 10.96 153.62 2.31,,,,
17:43:18.582 -> S0.08 10.71 153.62 2.31,,,,
17:43:18.619 -> S0.08 10.85 153.62 2.31,,,,
17:43:18.619 -> S0.09 11.13 153.62 2.31,,,,
17:43:18.619 -> S0.09 11.29 153.62 2.31,,,,
17:43:18.619 -> S0.09 11.16 153.62 2.31,,,,
17:43:18.619 -> S0.09 11.20 153.62 2.31,,,,
17:43:18.619 -> S0.09 11.28 153.62 2.31,,,,
17:43:18.655 -> S0.08 11.04 153.62 2.31,,,,
17:43:18.655 -> S0.08 10.86 153.62 2.31,,,,
17:43:18.655 -> S0.08 11.00 153.62 2.31,,,,
17:43:18.655 -> S0.09 11.27 153.62 2.31,,,,
17:43:18.655 -> S0.08 11.00 153.62 2.31,,,,
17:43:18.655 -> S0.08 10.82 153.62 2.31,,,,
17:43:18.655 -> S0.09 11.12 153.62 2.31,,,,
17:43:18.693 -> S0.09 11.49 153.62 2.31,,,,
17:43:18.693 -> S0.09 11.46 153.62 2.31,,,,
17:43:18.693 -> S0.09 11.43 153.62 2.31,,,,
17:43:18.693 -> S0.09 11.24 153.62 2.31,,,,
17:43:18.693 -> S0.08 10.80 153.62 2.31,,,,
17:43:18.693 -> S0.08 10.66 153.62 2.31,,,,
17:43:18.726 -> S0.08 10.50 153.62 2.31,,,,
17:43:18.726 -> S0.08 10.84 153.62 2.31,,,,
17:43:18.726 -> S0.08 11.00 153.62 2.31,,,,
17:43:18.726 -> S0.08 11.04 153.62 2.31,,,,
17:43:18.726 -> S0.09 11.22 153.62 2.31,,,,
17:43:18.726 -> S0.09 11.26 153.62 2.31,,,,
17:43:18.759 -> S0.09 11.20 153.62 2.31,,,,
17:43:18.759 -> S0.09 11.18 153.62 2.31,,,,
17:43:18.759 -> S0.09 11.27 153.62 2.31,,,,
17:43:18.759 -> S0.08 10.95 153.62 2.31,,,,
17:43:18.759 -> S0.08 10.68 153.62 2.31,,,,
17:43:18.793 -> S0.08 11.03 153.62 2.31,,,,
17:43:18.793 -> S0.09 11.24 153.62 2.31,,,,
17:43:18.793 -> S0.09 11.36 153.62 2.31,,,,
17:43:18.793 -> S0.09 11.37 153.62 2.31,,,,
17:43:18.793 -> S0.09 11.40 153.62 2.31,,,,
17:43:18.793 -> S0.09 11.13 153.62 2.31,,,,
17:43:18.831 -> S0.08 11.01 153.62 2.31,,,,
17:43:18.831 -> S0.09 11.22 153.62 2.31,,,,
17:43:18.831 -> S0.09 11.07 153.62 2.31,,,,
17:43:18.831 -> S0.08 10.98 153.62 2.31,,,,
17:43:18.831 -> S0.08 10.78 153.62 2.31,,,,
17:43:18.831 -> S0.08 10.95 153.62 2.31,,,,
17:43:18.868 -> S0.08 11.00 153.62 2.31,,,,
17:43:18.868 -> S0.09 11.23 153.62 2.31,,,,
17:43:18.868 -> S0.09 11.37 153.62 2.31,,,,
17:43:18.868 -> S0.08 11.02 153.62 2.31,,,,
17:43:18.868 -> S0.09 11.34 153.62 2.31,,,,
17:43:18.868 -> S0.09 11.09 153.62 2.31,,,,
17:43:18.902 -> S0.08 10.87 153.62 2.31,,,,
17:43:18.902 -> S0.08 10.65 153.62 2.31,,,,
17:43:18.902 -> S0.08 10.82 153.62 2.31,,,,
17:43:18.902 -> S0.09 11.12 153.62 2.31,,,,
17:43:18.902 -> S0.09 11.18 153.62 2.31,,,,
17:43:18.902 -> S0.09 11.07 153.62 2.31,,,,
17:43:18.939 -> S0.09 11.09 153.62 2.31,,,,
17:43:18.939 -> S0.09 11.14 153.62 2.31,,,,
17:43:18.939 -> S0.09 11.27 153.62 2.31,,,,
17:43:18.939 -> S0.08 10.93 153.62 2.31,,,,
17:43:18.939 -> S0.08 10.81 153.62 2.31,,,,
17:43:18.939 -> S0.08 10.99 153.62 2.31,,,,
17:43:18.972 -> S0.08 10.96 153.62 2.31,,,,
17:43:18.972 -> S0.09 11.07 153.62 2.31,,,,
17:43:18.972 -> S0.09 11.24 153.62 2.31,,,,
17:43:18.972 -> S0.09 11.09 153.62 2.31,,,,
17:43:18.972 -> S0.08 11.00 153.62 2.31,,,,
17:43:19.008 -> S0.09 11.07 153.62 2.31,,,,
17:43:19.008 -> S0.08 10.92 153.62 2.31,,,,
17:43:19.008 -> S0.08 10.89 153.62 2.31,,,,
17:43:19.008 -> S0.08 10.75 153.62 2.31,,,,
17:43:19.008 -> S0.09 11.13 153.62 2.31,,,,
17:43:19.008 -> S0.09 11.05 153.62 2.31,,,,
17:43:19.044 -> S0.08 10.81 153.62 2.31,,,,
17:43:19.044 -> S0.08 10.91 153.62 2.31,,,,
17:43:19.044 -> S0.08 11.02 153.62 2.31,,,,
17:43:19.044 -> S0.09 11.09 153.62 2.31,,,,
17:43:19.044 -> S0.09 11.24 153.62 2.31,,,,
17:43:19.044 -> S0.08 11.01 153.62 2.31,,,,
17:43:19.079 -> S0.09 11.13 153.62 2.31,,,,
17:43:19.079 -> S0.08 10.96 153.62 2.31,,,,
17:43:19.079 -> S0.08 10.96 153.62 2.31,,,,
17:43:19.079 -> S0.08 10.93 153.62 2.31,,,,
17:43:19.079 -> S0.08 10.95 153.62 2.31,,,,
17:43:19.079 -> S0.08 11.03 153.62 2.31,,,,
17:43:19.112 -> S0.08 11.04 153.62 2.31,,,,
17:43:19.112 -> S0.08 10.91 153.62 2.31,,,,
17:43:19.112 -> S0.08 10.98 153.62 2.31,,,,
17:43:19.112 -> S0.08 11.00 153.62 2.31,,,,
17:43:19.112 -> S0.09 11.14 153.62 2.31,,,,
17:43:19.112 -> S0.08 10.85 153.62 2.31,,,,
17:43:19.148 -> S0.08 10.93 153.62 2.31,,,,
17:43:19.148 -> S0.09 11.15 153.62 2.31,,,,
17:43:19.148 -> S0.09 11.20 153.62 2.31,,,,
17:43:19.148 -> S0.08 11.02 153.62 2.31,,,,
17:43:19.148 -> S0.09 11.27 153.62 2.31,,,,
17:43:19.148 -> S0.09 11.27 153.62 2.31,,,,
17:43:19.181 -> S0.09 11.22 153.62 2.31,,,,
17:43:19.181 -> S0.08 11.01 153.62 2.31,,,,
17:43:19.181 -> S0.08 10.74 153.62 2.31,,,,
17:43:19.181 -> S0.08 10.93 153.62 2.31,,,,
17:43:19.181 -> S0.09 11.07 153.62 2.31,,,,
17:43:19.181 -> S0.09 11.24 153.62 2.31,,,,
17:43:19.216 -> S0.08 11.03 153.62 2.31,,,,
17:43:19.216 -> S0.08 10.98 153.62 2.31,,,,
17:43:19.216 -> S0.08 10.71 153.62 2.31,,,,
17:43:19.216 -> S0.08 10.71 153.62 2.31,,,,
17:43:19.216 -> S0.08 10.72 153.62 2.31,,,,
17:43:19.250 -> S0.08 10.56 153.62 2.31,,,,
17:43:19.250 -> S0.08 10.76 153.62 2.31,,,,
17:43:19.250 -> S0.09 11.06 153.62 2.31,,,,
17:43:19.250 -> S0.08 10.90 153.62 2.31,,,,
17:43:19.250 -> S0.08 10.94 153.62 2.31,,,,
17:43:19.250 -> S0.08 11.02 153.62 2.31,,,,
17:43:19.287 -> S0.09 11.05 153.62 2.31,,,,
17:43:19.287 -> S0.08 10.96 153.62 2.31,,,,
17:43:19.287 -> S0.09 11.07 153.62 2.31,,,,
17:43:19.287 -> S0.09 11.16 153.62 2.31,,,,
17:43:19.287 -> S0.09 11.47 153.62 2.31,,,,
17:43:19.287 -> S0.09 11.31 153.62 2.31,,,,
17:43:19.324 -> S0.09 11.17 153.62 2.31,,,,
17:43:19.324 -> S0.09 11.21 153.62 2.31,,,,
17:43:19.324 -> S0.09 11.06 153.62 2.31,,,,
17:43:19.324 -> S0.08 10.91 153.62 2.31,,,,
17:43:19.324 -> S0.08 10.93 153.62 2.31,,,,
17:43:19.324 -> S0.08 11.04 153.62 2.31,,,,
17:43:19.324 -> S0.09 11.10 153.62 2.31,,,,
17:43:19.361 -> S0.08 10.92 153.62 2.31,,,,
17:43:19.361 -> S0.09 11.05 153.62 2.31,,,,
17:43:19.361 -> S0.08 11.04 153.62 2.31,,,,
17:43:19.361 -> S0.09 11.06 153.62 2.31,,,,
17:43:19.361 -> S0.08 10.85 153.62 2.31,,,,
17:43:19.394 -> S0.08 10.87 153.62 2.31,,,,
17:43:19.394 -> S0.08 10.91 153.62 2.31,,,,
17:43:19.394 -> S0.08 10.96 153.62 2.31,,,,
17:43:19.394 -> S0.08 10.81 153.62 2.31,,,,
